DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Num_Households,Income,Subsidy
2020-05-01,216.98,2020,5,58859.333333333336,206806811.868266,5.4,255.868,13.2,233.3,0.05,128451.0,76660.0,44.147
2020-06-01,217.616,2020,6,60332.666666666664,205516631.83436105,3.8,256.986,11.0,234.8,0.08,128451.0,76660.0,44.147
2020-07-01,219.378,2020,7,61806.0,205383291.36988705,3.4,258.278,10.2,237.0,0.09,128451.0,76660.0,44.147
2020-08-01,222.391,2020,8,62008.666666666664,205756721.971442,3.3,259.411,8.4,240.9,0.1,128451.0,76660.0,44.147
2020-09-01,225.837,2020,9,62211.333333333336,206102392.89660496,3.4,260.029,7.9,246.9,0.09,128451.0,76660.0,44.147
2020-10-01,229.753,2020,10,62414.0,206062967.906825,3.3,260.286,6.9,246.4,0.09,128451.0,76660.0,44.147
2020-11-01,233.208,2020,11,62685.0,206157848.349687,4.0,260.813,6.7,244.3,0.09,128451.0,76660.0,44.147
2020-12-01,236.486,2020,12,62956.0,206072530.61728495,4.1,262.035,6.7,248.0,0.09,128451.0,76660.0,44.147
2021-01-01,239.56,2021,1,63227.0,204942957.947155,4.0,262.65,6.3,256.4,0.09,129224.0,76330.0,45.299
2021-02-01,242.36900000000003,2021,2,63537.0,204900632.51885095,4.9,263.638,6.2,264.6,0.08,129224.0,76330.0,45.299
2021-03-01,245.465,2021,3,63847.0,205013086.55691305,4.4,264.914,6.1,276.7,0.07,129224.0,76330.0,45.299
2021-04-01,249.07,2021,4,64157.0,205390470.988754,4.7,266.67,6.1,291.8,0.07,129224.0,76330.0,45.299
2021-05-01,253.407,2021,5,64309.666666666664,205611509.059514,5.6,268.444,5.8,305.9,0.06,129224.0,76330.0,45.299
2021-06-01,258.358,2021,6,64462.333333333336,205376625.956331,5.8,270.559,5.9,315.7,0.08,129224.0,76330.0,45.299
2021-07-01,262.82,2021,7,64615.0,205344083.081467,5.7,271.764,5.4,313.542,0.1,129224.0,76330.0,45.299
2021-08-01,266.845,2021,8,64960.333333333336,205334928.579499,6.5,272.87,5.2,313.083,0.09,129224.0,76330.0,45.299
2021-09-01,270.377,2021,9,65305.666666666664,205452287.613564,6.0,274.028,4.8,317.136,0.08,129224.0,76330.0,45.299
2021-10-01,273.725,2021,10,65651.0,205370913.422304,6.8,276.522,4.5,322.12,0.08,129224.0,76330.0,45.299
2021-11-01,277.21,2021,11,65529.333333333336,205364326.70385203,6.0,278.711,4.2,328.94,0.08,129224.0,76330.0,45.299
2021-12-01,281.342,2021,12,65407.666666666664,205320479.360096,5.6,280.887,3.9,335.032,0.08,129224.0,76330.0,45.299
2022-01-01,285.92400000000004,2022,1,65286.0,207106806.899557,5.8,282.599,4.0,345.742,0.08,131202.0,74580.0,48.021
2022-02-01,291.153,2022,2,65233.0,207104221.83809105,6.2,284.61,3.8,343.583,0.08,131202.0,74580.0,48.021
2022-03-01,296.445,2022,3,65180.0,207013003.70449,7.0,287.472,3.6,345.852,0.2,131202.0,74580.0,48.021
2022-04-01,300.573,2022,4,65127.0,207064955.401875,8.5,288.611,3.6,343.786,0.33,131202.0,74580.0,48.021
2022-05-01,303.762,2022,5,65238.666666666664,207270515.766814,8.3,291.268,3.6,353.015,0.77,131202.0,74580.0,48.021
2022-06-01,304.724,2022,6,65350.333333333336,207394728.33475,9.5,294.728,3.6,349.8,1.21,131202.0,74580.0,48.021
2022-07-01,303.879,2022,7,65462.0,207407819.585438,10.1,294.628,3.5,346.79,1.68,131202.0,74580.0,48.021
2022-08-01,301.473,2022,8,65569.0,207370650.96785697,8.7,295.32,3.7,342.753,2.33,131202.0,74580.0,48.021
2022-09-01,299.353,2022,9,65676.0,207453580.524705,9.7,296.539,3.5,336.464,2.56,131202.0,74580.0,48.021
2022-10-01,298.873,2022,10,65783.0,207431164.67844105,9.7,297.987,3.7,333.796,3.08,131202.0,74580.0,48.021
2022-11-01,298.269,2022,11,65881.33333333333,207521914.19028,9.4,298.598,3.6,330.369,3.78,131202.0,74580.0,48.021
2022-12-01,297.413,2022,12,65979.66666666667,207524486.32236,8.5,298.99,3.5,326.449,4.1,131202.0,74580.0,48.021
