DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Num_Households,Income,Subsidy
2008-07-01,163.566,2008,7,55278.0,196675087.052917,10.5,219.016,5.8,203.4,2.01,116783.0,66280.0,29.876
2008-08-01,161.987,2008,8,54832.333333333336,196811699.220529,11.3,218.69,6.1,206.5,2.0,116783.0,66280.0,29.876
2008-09-01,160.308,2008,9,54386.666666666664,196983627.413106,10.9,218.877,6.1,206.3,1.81,116783.0,66280.0,29.876
2008-10-01,158.327,2008,10,53941.0,197148227.499098,11.6,216.995,6.5,201.8,0.97,116783.0,66280.0,29.876
2008-11-01,156.142,2008,11,53701.0,197282902.994639,11.4,213.153,6.8,199.6,0.39,116783.0,66280.0,29.876
2008-12-01,153.619,2008,12,53461.0,197450630.74704,11.2,211.398,7.3,194.8,0.16,116783.0,66280.0,29.876
2009-01-01,151.507,2009,1,53221.0,196957168.078512,12.2,211.933,7.8,193.3,0.15,117181.0,65850.0,32.883
2009-02-01,150.015,2009,2,53153.0,197130254.265795,10.5,212.705,8.3,191.2,0.22,117181.0,65850.0,32.883
2009-03-01,148.66,2009,3,53085.0,197296740.796326,11.0,212.495,8.7,190.2,0.18,117181.0,65850.0,32.883
2009-04-01,147.94899999999998,2009,4,53017.0,197765218.550998,10.7,212.709,9.0,188.1,0.15,117181.0,65850.0,32.883
2009-05-01,147.694,2009,5,53038.333333333336,197891891.901038,9.3,213.022,9.4,186.9,0.18,117181.0,65850.0,32.883
2009-06-01,148.09,2009,6,53059.666666666664,197604115.283094,8.5,214.79,9.5,187.1,0.21,117181.0,65850.0,32.883
2009-07-01,148.41,2009,7,53081.0,197767457.71878,7.9,214.726,9.5,187.6,0.16,117181.0,65850.0,32.883
2009-08-01,148.278,2009,8,53231.0,198115216.55840105,7.5,215.445,9.6,188.1,0.16,117181.0,65850.0,32.883
2009-09-01,148.025,2009,9,53381.0,198362395.499829,7.8,215.861,9.8,189.3,0.15,117181.0,65850.0,32.883
2009-10-01,147.85,2009,10,53531.0,198618566.659451,7.4,216.509,10.0,189.7,0.12,117181.0,65850.0,32.883
2009-11-01,148.134,2009,11,53581.666666666664,198613900.547094,7.6,217.234,9.9,189.2,0.12,117181.0,65850.0,32.883
2009-12-01,147.929,2009,12,53632.333333333336,198622777.171291,8.0,217.347,9.9,189.4,0.12,117181.0,65850.0,32.883
2010-01-01,147.39600000000002,2010,1,53683.0,198064131.621042,8.1,217.488,9.8,190.3,0.11,117538.0,64300.0,32.669
2010-02-01,145.631,2010,2,53822.0,198328300.957783,8.3,217.281,9.8,192.2,0.13,117538.0,64300.0,32.669
2010-03-01,145.859,2010,3,53961.0,198648956.056007,7.1,217.353,9.9,193.7,0.16,117538.0,64300.0,32.669
